patient_id,total_logins_30_days,avg_session_duration_minutes,reminder_response_rate,medicine_searches,chat_interactions,reminder_snooze_rate
P00001,23,11.6,0.97,8,2,0.39
P00002,37,2.2,0.49,6,4,0.27
P00003,15,14.4,0.55,0,8,0.17
P00004,15,6.5,0.33,1,0,0.31
P00005,51,10.4,0.85,2,15,0.26
P00006,70,13.7,0.97,1,10,0.33
P00007,15,5.8,0.44,0,1,0.07
P00008,84,10.3,0.93,1,12,0.39
P00009,34,5.3,0.33,7,4,0.28
P00010,9,5.6,0.7,9,15,0.27
P00011,32,4.2,0.39,8,0,0.08
P00012,27,6.2,0.87,10,4,0.16
P00013,19,13.8,0.68,0,14,0.1
P00014,7,8.5,0.46,3,15,0.08
P00015,36,5.1,0.59,5,3,0.29
P00016,5,13.4,0.52,9,11,0.34
P00017,50,3.3,0.91,2,9,0.2
P00018,61,12.7,0.87,5,5,0.17
P00019,33,3.2,0.67,9,12,0.29
P00020,40,11.8,0.95,0,11,0.26
P00021,35,12.2,0.61,9,11,0.36
P00022,27,3.4,0.4,2,12,0.18
P00023,31,4.7,0.55,3,11,0.28
P00024,30,11.2,0.54,9,10,0.33
P00025,59,11.7,0.97,7,5,0.38
P00026,6,7.6,0.62,8,7,0.16
P00027,38,11.7,0.33,3,14,0.25
P00028,29,10.3,0.4,0,3,0.22
P00029,63,8.6,0.91,1,2,0.11
P00030,36,7.8,0.35,2,1,0.39
P00031,42,14.8,0.96,6,13,0.15
P00032,31,9.0,0.39,5,5,0.38
P00033,40,13.1,0.58,9,11,0.16
P00034,84,5.4,0.9,9,4,0.26
P00035,29,3.2,0.44,5,11,0.14
P00036,30,10.5,0.62,9,7,0.21
P00037,19,13.3,0.35,0,13,0.07
P00038,24,7.4,0.6,1,8,0.15
P00039,18,11.2,0.45,10,0,0.23
P00040,34,11.1,0.48,4,6,0.17
P00041,22,8.1,0.37,5,1,0.22
P00042,31,9.0,0.94,5,6,0.26
P00043,89,11.0,0.87,10,10,0.06
P00044,27,3.2,0.68,5,1,0.26
P00045,77,9.1,0.91,9,3,0.39
P00046,5,2.7,0.7,2,13,0.37
P00047,16,2.6,0.61,8,14,0.13
P00048,59,10.7,0.93,1,2,0.25
P00049,17,12.1,0.34,0,8,0.11
P00050,28,8.5,0.54,4,14,0.07
P00051,8,11.9,0.52,0,3,0.24
P00052,28,13.8,0.93,5,1,0.21
P00053,84,11.6,0.88,10,14,0.25
P00054,31,7.3,0.67,2,4,0.28
P00055,15,14.5,0.55,5,0,0.11
P00056,47,3.6,0.94,6,10,0.27
P00057,76,5.9,0.88,6,3,0.31
P00058,6,11.5,0.6,10,9,0.14
P00059,12,6.1,0.5,9,5,0.15
P00060,21,5.6,0.87,3,13,0.31
P00061,5,3.5,0.61,2,0,0.27
P00062,49,14.6,0.88,8,7,0.39
P00063,24,3.3,0.63,5,12,0.16
P00064,41,8.6,0.87,5,13,0.39
P00065,21,8.6,0.92,1,12,0.31
P00066,9,10.3,0.57,10,15,0.33
P00067,65,2.5,0.94,8,4,0.25
P00068,13,12.0,0.46,4,8,0.3
P00069,33,14.3,0.59,0,5,0.24
P00070,14,8.8,0.64,0,9,0.17
P00071,32,3.6,0.66,0,1,0.26
P00072,19,8.5,0.46,2,15,0.1
P00073,33,13.2,0.96,10,4,0.08
P00074,7,5.3,0.51,4,5,0.38
P00075,27,12.1,0.41,5,9,0.14
P00076,18,11.8,0.57,3,11,0.25
P00077,7,3.6,0.67,10,6,0.3
P00078,64,9.3,0.85,6,4,0.37
P00079,63,11.0,0.96,8,15,0.27
P00080,18,5.3,0.5,4,3,0.35
P00081,60,14.5,0.92,6,11,0.27
P00082,11,2.5,0.32,3,3,0.31
P00083,18,2.2,0.69,9,10,0.09
P00084,26,11.2,0.36,2,0,0.1
P00085,14,2.7,0.37,0,10,0.18
P00086,45,13.0,0.94,1,14,0.11
P00087,61,2.1,0.96,1,13,0.15
P00088,22,7.8,0.69,5,4,0.23
P00089,84,15.0,0.98,10,13,0.05
P00090,61,11.7,0.98,5,15,0.22
P00091,9,5.3,0.68,6,0,0.12
P00092,6,11.3,0.52,9,8,0.21
P00093,85,4.3,0.93,3,15,0.22
P00094,22,8.1,0.34,10,7,0.09
P00095,22,12.2,0.92,4,3,0.21
P00096,88,11.3,0.9,1,9,0.31
P00097,28,13.5,0.66,5,15,0.17
P00098,36,6.2,0.49,0,3,0.22
P00099,16,11.5,0.49,3,0,0.06
P00100,19,9.9,0.68,9,11,0.38
P00101,35,9.5,0.96,3,14,0.4
P00102,50,13.2,0.91,1,13,0.12
P00103,83,6.9,0.85,0,8,0.18
P00104,15,10.2,0.48,1,1,0.23
P00105,8,4.0,0.56,9,9,0.16
P00106,54,9.2,0.93,7,6,0.4
P00107,26,4.1,0.43,0,12,0.28
P00108,53,7.4,0.89,7,7,0.26
P00109,80,3.1,0.86,1,5,0.39
P00110,27,6.9,0.98,8,15,0.18
P00111,13,5.9,0.67,7,15,0.32
P00112,31,2.5,0.37,5,3,0.19
P00113,47,4.2,0.96,8,0,0.17
P00114,22,11.1,0.44,4,5,0.19
P00115,16,14.9,0.67,0,15,0.33
P00116,11,4.1,0.61,0,2,0.15
P00117,61,12.5,0.94,0,12,0.22
P00118,59,3.9,0.89,0,12,0.25
P00119,67,2.9,0.91,2,14,0.16
P00120,10,3.5,0.48,6,9,0.3
P00121,17,11.2,0.46,5,10,0.07
P00122,25,4.4,0.61,1,5,0.31
P00123,18,2.9,0.3,9,14,0.28
P00124,22,14.1,0.39,10,2,0.13
P00125,26,10.0,0.31,6,6,0.09
P00126,35,13.0,0.37,7,8,0.27
P00127,10,4.2,0.39,10,15,0.1
P00128,37,12.8,0.31,6,9,0.11
P00129,26,12.1,0.56,0,9,0.36
P00130,76,4.7,0.9,3,14,0.16
P00131,27,10.6,0.62,7,10,0.31
P00132,35,2.8,0.4,8,2,0.3
P00133,25,4.9,0.5,2,3,0.33
P00134,11,6.8,0.47,8,6,0.4
P00135,36,14.8,0.92,6,14,0.15
P00136,21,6.7,0.48,2,11,0.32
P00137,81,6.7,0.95,2,0,0.33
P00138,20,4.3,0.38,1,12,0.36
P00139,42,8.4,0.86,3,2,0.05
P00140,35,8.5,0.88,7,2,0.36
P00141,68,8.7,0.95,1,11,0.22
P00142,29,2.9,0.36,10,6,0.38
P00143,79,6.4,0.86,6,12,0.29
P00144,58,9.0,0.93,3,13,0.37
P00145,20,3.6,0.48,10,9,0.06
P00146,35,8.8,0.95,6,15,0.23
P00147,79,13.0,0.85,7,13,0.2
P00148,35,9.8,0.95,3,5,0.14
P00149,67,2.6,0.93,9,1,0.19
P00150,11,9.9,0.63,7,3,0.32
P00151,16,3.3,0.67,9,14,0.06
P00152,20,4.2,0.86,0,11,0.27
P00153,85,14.4,0.94,7,6,0.21
P00154,17,13.6,0.59,8,14,0.1
P00155,37,10.0,0.98,0,4,0.28
P00156,23,12.7,0.86,2,7,0.3
P00157,29,8.3,0.63,6,13,0.39
P00158,28,8.8,0.49,5,5,0.34
P00159,26,4.2,0.34,3,13,0.27
P00160,65,9.3,0.93,10,8,0.36
P00161,61,6.3,0.92,0,12,0.4
P00162,69,9.2,0.87,0,1,0.3
P00163,7,4.6,0.58,3,2,0.28
P00164,9,14.1,0.64,5,12,0.23
P00165,9,9.3,0.37,10,3,0.26
P00166,62,11.7,0.85,3,7,0.31
P00167,16,14.1,0.43,7,15,0.22
P00168,24,10.5,0.39,0,14,0.08
P00169,12,14.9,0.48,1,10,0.39
P00170,62,11.1,0.92,0,8,0.29
P00171,55,13.2,0.91,1,5,0.24
P00172,12,14.5,0.33,6,10,0.28
P00173,29,14.6,0.97,1,4,0.26
P00174,84,8.1,0.95,10,0,0.09
P00175,27,3.6,0.38,1,8,0.3
P00176,21,14.4,0.63,8,7,0.06
P00177,11,2.3,0.44,5,15,0.18
P00178,20,2.6,0.66,10,11,0.31
P00179,27,10.7,0.55,4,4,0.27
P00180,38,4.0,0.41,8,14,0.14
P00181,32,7.4,0.63,6,14,0.22
P00182,27,12.4,0.86,4,1,0.31
P00183,82,9.9,0.96,3,3,0.21
P00184,37,2.3,0.92,2,12,0.16
P00185,61,2.7,0.94,7,9,0.32
P00186,8,4.1,0.6,2,7,0.17
P00187,13,5.1,0.65,9,3,0.23
P00188,27,14.4,0.69,1,4,0.09
P00189,12,4.8,0.66,8,13,0.29
P00190,68,9.9,0.88,8,4,0.25
P00191,20,2.8,0.31,7,13,0.34
P00192,34,7.6,0.97,0,9,0.26
P00193,27,12.9,0.54,7,0,0.1
P00194,37,10.0,0.66,2,10,0.3
P00195,28,5.4,0.32,2,11,0.06
P00196,7,9.3,0.36,3,3,0.28
P00197,85,11.5,0.95,7,1,0.34
P00198,79,5.4,0.97,10,9,0.19
P00199,76,5.4,0.89,8,5,0.32
P00200,54,8.6,0.86,9,1,0.31
P00201,43,9.6,0.96,7,7,0.23
P00202,67,8.4,0.95,6,12,0.24
P00203,5,13.2,0.5,8,11,0.34
P00204,54,5.7,0.97,0,13,0.25
P00205,87,2.4,0.93,4,11,0.35
P00206,14,8.6,0.51,5,4,0.06
P00207,66,2.5,0.91,5,2,0.1
P00208,32,8.0,0.86,7,9,0.09
P00209,47,14.9,0.91,1,8,0.18
P00210,6,13.3,0.34,6,4,0.33
P00211,15,4.1,0.33,0,2,0.14
P00212,11,5.5,0.52,10,2,0.09
P00213,32,9.9,0.33,5,9,0.05
P00214,27,12.1,0.53,6,1,0.37
P00215,82,4.4,0.88,6,6,0.32
P00216,20,13.9,0.86,8,8,0.19
P00217,62,8.8,0.91,3,13,0.19
P00218,87,3.9,0.95,6,6,0.07
P00219,38,2.9,0.89,5,11,0.15
P00220,37,10.1,0.46,8,2,0.08
P00221,28,10.8,0.69,7,11,0.16
P00222,48,8.3,0.87,7,7,0.24
P00223,16,12.1,0.52,1,0,0.1
P00224,83,9.7,0.87,3,3,0.17
P00225,18,9.4,0.3,3,13,0.27
P00226,11,3.9,0.57,3,7,0.07
P00227,48,12.8,0.9,8,8,0.12
P00228,35,15.0,0.97,8,0,0.39
P00229,16,2.8,0.38,10,3,0.11
P00230,39,14.0,0.95,0,0,0.26
P00231,39,6.1,0.34,6,14,0.23
P00232,33,5.9,0.92,5,12,0.21
P00233,39,7.4,0.58,7,6,0.05
P00234,80,12.0,0.95,2,5,0.21
P00235,85,6.9,0.93,7,12,0.1
P00236,31,10.8,0.6,1,3,0.1
P00237,13,9.4,0.34,6,8,0.36
P00238,28,6.5,0.44,6,1,0.06
P00239,35,7.7,0.7,6,1,0.26
P00240,41,6.1,0.96,5,5,0.21
P00241,7,12.0,0.69,10,3,0.37
P00242,10,9.8,0.47,0,14,0.06
P00243,44,6.1,0.94,0,3,0.16
P00244,74,7.3,0.93,2,1,0.25
P00245,66,4.1,0.92,0,10,0.22
P00246,10,12.1,0.47,10,11,0.15
P00247,44,4.5,0.97,4,14,0.06
P00248,50,6.8,0.89,0,7,0.23
P00249,14,10.2,0.42,6,8,0.27
P00250,32,5.2,0.97,7,11,0.11
P00251,39,6.3,0.33,3,14,0.26
P00252,38,12.6,0.46,8,15,0.22
P00253,25,9.7,0.47,9,7,0.32
P00254,40,9.9,0.32,4,14,0.33
P00255,8,4.7,0.4,6,4,0.38
P00256,26,7.0,0.69,3,4,0.1
P00257,39,4.6,0.59,0,11,0.07
P00258,46,9.4,0.94,5,7,0.07
P00259,33,5.4,0.45,1,12,0.18
P00260,83,6.1,0.86,0,4,0.29
P00261,33,11.9,0.9,5,8,0.32
P00262,35,8.4,0.48,8,0,0.34
P00263,26,4.1,0.7,9,1,0.19
P00264,46,5.4,0.91,9,4,0.24
P00265,13,12.8,0.53,9,6,0.35
P00266,17,7.0,0.48,6,0,0.15
P00267,44,11.2,0.9,2,3,0.14
P00268,8,7.6,0.58,0,3,0.32
P00269,72,2.4,0.96,4,5,0.09
P00270,17,13.3,0.35,2,3,0.35
P00271,21,7.7,0.33,4,12,0.11
P00272,56,3.4,0.97,8,15,0.39
P00273,65,3.6,0.86,6,14,0.28
P00274,44,6.7,0.89,4,1,0.27
P00275,14,5.4,0.51,4,3,0.17
P00276,20,12.2,0.48,1,1,0.06
P00277,68,6.1,0.89,8,6,0.15
P00278,28,7.7,0.64,5,9,0.15
P00279,12,12.6,0.69,9,0,0.15
P00280,30,2.1,0.4,0,0,0.39
P00281,5,3.8,0.33,10,14,0.18
P00282,54,7.7,0.88,8,7,0.38
P00283,6,11.1,0.45,0,15,0.28
P00284,28,3.1,0.49,3,15,0.24
P00285,32,13.7,0.37,3,13,0.31
P00286,5,14.6,0.42,8,2,0.15
P00287,49,11.0,0.89,9,2,0.14
P00288,7,6.6,0.66,2,1,0.36
P00289,50,7.6,0.97,10,3,0.24
P00290,15,6.3,0.54,6,14,0.26
P00291,82,8.9,0.89,2,12,0.34
P00292,23,4.9,0.44,2,14,0.31
P00293,32,11.0,0.53,3,11,0.17
P00294,36,10.9,0.86,0,1,0.23
P00295,87,12.5,0.89,7,6,0.34
P00296,28,9.7,0.54,4,11,0.13
P00297,28,13.5,0.93,4,2,0.34
P00298,34,5.6,0.57,1,5,0.25
P00299,8,3.2,0.37,6,5,0.28
P00300,38,9.2,0.42,4,1,0.38
P00301,61,9.4,0.89,5,14,0.32
P00302,17,11.8,0.65,0,15,0.19
P00303,75,7.1,0.95,3,1,0.29
P00304,70,6.4,0.92,1,2,0.33
P00305,25,10.3,0.94,2,13,0.1
P00306,73,14.9,0.93,10,3,0.25
P00307,78,3.8,0.91,8,8,0.11
P00308,65,6.4,0.89,6,6,0.18
P00309,7,4.9,0.66,3,8,0.24
P00310,62,6.3,0.87,5,13,0.38
P00311,7,10.6,0.52,3,5,0.1
P00312,37,8.8,0.69,4,13,0.2
P00313,33,13.1,0.89,4,15,0.07
P00314,83,12.5,0.93,5,6,0.06
P00315,24,6.5,0.51,4,15,0.29
P00316,26,6.7,0.95,2,10,0.22
P00317,56,8.3,0.95,9,9,0.26
P00318,26,11.7,0.56,1,5,0.18
P00319,36,2.6,0.68,3,15,0.21
P00320,37,12.3,0.48,0,6,0.35
P00321,5,13.1,0.54,1,1,0.27
P00322,18,2.8,0.32,8,13,0.29
P00323,34,5.3,0.48,6,10,0.13
P00324,17,11.4,0.33,0,2,0.16
P00325,21,12.5,0.66,7,2,0.13
P00326,10,14.8,0.32,3,15,0.22
P00327,15,7.7,0.62,3,0,0.24
P00328,20,5.9,0.47,3,13,0.24
P00329,14,12.7,0.45,10,5,0.13
P00330,14,2.6,0.6,9,11,0.37
P00331,8,10.2,0.38,10,7,0.24
P00332,8,8.0,0.39,5,5,0.26
P00333,21,8.8,0.46,4,6,0.22
P00334,23,8.8,0.47,6,7,0.16
P00335,39,10.1,0.95,1,2,0.26
P00336,28,11.6,0.62,0,6,0.29
P00337,79,7.9,0.94,3,5,0.15
P00338,63,9.2,0.91,4,7,0.12
P00339,20,9.9,0.7,9,9,0.15
P00340,36,11.0,0.95,8,2,0.15
P00341,54,3.3,0.93,8,2,0.11
P00342,34,3.9,0.88,1,1,0.09
P00343,54,12.1,0.91,6,2,0.19
P00344,18,3.4,0.65,9,2,0.27
P00345,17,13.3,0.67,5,11,0.12
P00346,9,9.5,0.51,1,2,0.1
P00347,6,9.3,0.42,0,15,0.25
